Code,Category,Sub_Category,Question,Answer,Difficulty,SubCatName,Flag
27509,Music,Rock & Pop,Iain Stewart was dropped from which band for looking too normal,The Rolling Stones,Specialized Knowledge,Music|Rock & Pop,
27510,Music,Rock & Pop,"Jagger, Richards, Wyman, Jones, Watts, Stewart - which band",The Rolling Stones,Common Knowledge,Music|Rock & Pop,
27511,Music,Rock & Pop,The pop group Satan's Jesters found fame under what name,The Rolling Stones,Specialized Knowledge,Music|Rock & Pop,
27512,Music,Rock & Pop,What was the title of the first album released by The Rolling Stones?,The Rolling Stones,Moderate Knowledge,Music|Rock & Pop,
27513,Music,Rock & Pop,Which rock legends recorded The Harlem Shuffle in the 1980s,The Rolling Stones,Moderate Knowledge,Music|Rock & Pop,
27514,Music,Rock & Pop,Who released the 1970s album entitled Exile on Main Street?,The Rolling Stones,Moderate Knowledge,Music|Rock & Pop,
27515,Music,Rock & Pop,What group's biggest hit was Be My Baby,The Ronettes,Moderate Knowledge,Music|Rock & Pop,
27524,Music,Rock & Pop,Which group had a Christmas No 1 with Lily The Pink?,The Scaffold,Specialized Knowledge,Music|Rock & Pop,
27531,Music,Rock & Pop,Which band members wanted to be a 3 Minute Hero?,The Selector,Specialized Knowledge,Music|Rock & Pop,
27532,Music,Rock & Pop,Who released the 1970s album entitled 'Next'?,The Sensational Alex Harvey Band,Specialized Knowledge,Music|Rock & Pop,
27536,Music,Rock & Pop,Steve Jones was guitarist with which punk band,The Sex Pistols,Moderate Knowledge,Music|Rock & Pop,
27537,Music,Rock & Pop,What was Disco Tex's backing group called?,The Sex-O-Lettes,Specialized Knowledge,Music|Rock & Pop,
27542,Music,Rock & Pop,Of which group is Jet Harris a long standing member,The Shadows,Specialized Knowledge,Music|Rock & Pop,
27544,Music,Rock & Pop,Which electronic music group comprised Colin Angus and Mr C,The Shamen,Specialized Knowledge,Music|Rock & Pop,
27545,Music,Rock & Pop,Who had a hit with Ebeneezer Goode?,The Shamen,Specialized Knowledge,Music|Rock & Pop,
27552,Music,Rock & Pop,Who had late 1960s hits with Ain't Nothing But A House Party and Eeny Meeny,The Showstoppers,Specialized Knowledge,Music|Rock & Pop,
27561,Music,Rock & Pop,Janine Deckers died in 1985 and had a top 10 hit in 1962 performing under what name,The Singing Nun,Specialized Knowledge,Music|Rock & Pop,
27562,Music,Rock & Pop,Who was the first female to top both US single and album charts simultaneously?,The Singing Nun,Specialized Knowledge,Music|Rock & Pop,
27568,Music,Rock & Pop,Who had a hit with Lazy Sunday in 1968,The Small Faces,Moderate Knowledge,Music|Rock & Pop,
27569,Music,Rock & Pop,Who went for 'All Or Nothing' reaching No.1 in 1966,The Small Faces,Specialized Knowledge,Music|Rock & Pop,
27570,Music,Rock & Pop,Morrissey was the lead singer of which band?,The Smiths,Moderate Knowledge,Music|Rock & Pop,
27571,Music,Rock & Pop,What was the name of the band fronted by Morrissey in the 1980s?,The Smiths,Common Knowledge,Music|Rock & Pop,
27572,Music,Rock & Pop,Which 3 bands has Johnny Marr been associated with,The Smiths Electronic The The,Specialized Knowledge,Music|Rock & Pop,
27576,Music,Rock & Pop,Father Abraham was the guiding light for which hit-making cartoon characters,The Smurfs,Specialized Knowledge,Music|Rock & Pop,
27585,Music,Rock & Pop,On the 1974 hit for The 3 Degrees what does the abbreviation TSOP stand for?,The Sound Of Philadelphia,Moderate Knowledge,Music|Rock & Pop,
27588,Music,Rock & Pop,Name the EP which reached number 1 in February 1980 from The Specials?,The Special AKA Live,Specialized Knowledge,Music|Rock & Pop,
27589,Music,Rock & Pop,Ghost Town was a number one hit for which group?,The Specials,Moderate Knowledge,Music|Rock & Pop,
27590,Music,Rock & Pop,Ghost Town was the only number one single released by which British band?,The Specials,Moderate Knowledge,Music|Rock & Pop,
27591,Music,Rock & Pop,Which band recorded A Message to You Rudy?,The Specials,Specialized Knowledge,Music|Rock & Pop,
27594,Music,Rock & Pop,Name the only act to have had 3 Christmas number ones in the 1990s,The Spice Girls,Moderate Knowledge,Music|Rock & Pop,
27595,Music,Rock & Pop,Who had a hit in 1996 with Wannabe?,The Spice Girls,Common Knowledge,Music|Rock & Pop,
27604,Music,Rock & Pop,Which band had magical results with Abracadabra in the early 1980s?,The Steve Miller Band,Moderate Knowledge,Music|Rock & Pop,
27606,Music,Rock & Pop,Ian Brown fronts which band?,The Stone Roses,Specialized Knowledge,Music|Rock & Pop,
27607,Music,Rock & Pop,Who released the 70s album entitled Fun House?,The Stooges,Specialized Knowledge,Music|Rock & Pop,
27608,Music,Rock & Pop,Which band sang 'No More Heroes'?,The Stranglers,Specialized Knowledge,Music|Rock & Pop,
27609,Music,Rock & Pop,With which band did Hugh Cornwell sing lead vocals?,The Stranglers,Moderate Knowledge,Music|Rock & Pop,
27614,Music,Rock & Pop,Which band did Mick Talbot and Paul Weller form in 1983?,The Style Council,Specialized Knowledge,Music|Rock & Pop,
27615,Music,Rock & Pop,What was the name of the Bjork-fronted 1980s band,The Sugarcubes,Moderate Knowledge,Music|Rock & Pop,
27621,Music,Rock & Pop,What was Mike Berry's comeback single reaching No.9 in 1980,The Sunshine Of Your Smile,Specialized Knowledge,Music|Rock & Pop,
27624,Music,Rock & Pop,How are Florence Ballard and Mary Wilson more commonly known,The Supremes,Moderate Knowledge,Music|Rock & Pop,
27625,Music,Rock & Pop,What group was Diana Ross a member of before her solo career?,The Supremes,Common Knowledge,Music|Rock & Pop,
27626,Music,Rock & Pop,Which group used to be called The Primettes?,The Supremes,Moderate Knowledge,Music|Rock & Pop,
27627,Music,Rock & Pop,Which group was originally called The Primettes?,The Supremes,Moderate Knowledge,Music|Rock & Pop,
27628,Music,Rock & Pop,Which trio was originally known as the Primettes?,The Supremes,Moderate Knowledge,Music|Rock & Pop,
27629,Music,Rock & Pop,Brian Connolly was the lead singer of which 1970s group?,The Sweet,Specialized Knowledge,Music|Rock & Pop,
27630,Music,Rock & Pop,"Which group went on a ""Teenage Rampage""",The Sweet,Specialized Knowledge,Music|Rock & Pop,
27634,Music,Rock & Pop,What dance is most associated with Buenos Aires?,The Tango,Common Knowledge,Music|Rock & Pop,
27636,Music,Rock & Pop,What was the gang name of John Travolta and his cohorts in the movie Grease?,The T-Birds,Common Knowledge,Music|Rock & Pop,
27638,Music,Rock & Pop,With which band was Julian Cope the front man,The Teardrop Explodes,Specialized Knowledge,Music|Rock & Pop,
27639,Music,Rock & Pop,Which group had a 1950s hit with 'To Know Him Is To Love Him' in 1958?,The Teddy Bears,Specialized Knowledge,Music|Rock & Pop,
27643,Music,Rock & Pop,The Primes and The Distants merged to form what group?,The Temptations,Moderate Knowledge,Music|Rock & Pop,
27644,Music,Rock & Pop,With which group do you associate David Ruffin and Eddie Kendricks?,The Temptations,Moderate Knowledge,Music|Rock & Pop,
27661,Music,Rock & Pop,The KLF had their first number 1 under what different name,The Timelords,Specialized Knowledge,Music|Rock & Pop,
27669,Music,Rock & Pop,"Who had a number one hit in 1962 with the song ""Telstar""",The Tornadoes,Specialized Knowledge,Music|Rock & Pop,
27677,Music,Rock & Pop,Ronnie Bond was the drummer for which group?,The Troggs,Specialized Knowledge,Music|Rock & Pop,
27678,Music,Rock & Pop,"Which band sang about a ""Wild Thing"" in 1966?",The Troggs,Moderate Knowledge,Music|Rock & Pop,
27687,Music,Rock & Pop,Which song was a hit for both Cliff Richard and Elvis Presley?,The Twelfth Of Never,Moderate Knowledge,Music|Rock & Pop,
27691,Music,Rock & Pop,Which group took My Perfect Cousin to No.9 at the start of the 1980s,The Undertones,Specialized Knowledge,Music|Rock & Pop,
27694,Music,Rock & Pop,Which union did Duran Duran sing about?,The Union Of The Snake,Specialized Knowledge,Music|Rock & Pop,
27701,Music,Rock & Pop,Which British group released the album 'Urban Hymns' in 1997?,The Verve,Moderate Knowledge,Music|Rock & Pop,
27702,Music,Rock & Pop,Which group had the hit album Urban Hymns?,The Verve,Moderate Knowledge,Music|Rock & Pop,
27708,Music,Rock & Pop,What 1980s group sang the theme song to the TV show Square Pegs,The Waitresses,Specialized Knowledge,Music|Rock & Pop,
27715,Music,Rock & Pop,Which Chicago club gave house music its name,The Warehouse,Specialized Knowledge,Music|Rock & Pop,
27720,Music,Rock & Pop,How are the musical duo of Martha Wash and Izora Armstead more commonly known,The Weather Girls,Moderate Knowledge,Music|Rock & Pop,
27721,Music,Rock & Pop,Which musical act went by the former name of 'Two Tons Of Fun'?,The Weather Girls,Specialized Knowledge,Music|Rock & Pop,
27722,Music,Rock & Pop,Who was to blame according to Bewitched in 1999?,The Weatherman,Specialized Knowledge,Music|Rock & Pop,
27724,Music,Rock & Pop,Which band released an LP entitled George Best?,The Wedding Present,Specialized Knowledge,Music|Rock & Pop,
27727,Music,Rock & Pop,The Detours changed to The High Numbers then what name?,The Who,Moderate Knowledge,Music|Rock & Pop,
27728,Music,Rock & Pop,Which band were the only group to play at both Woodstock and Live Aid?,The Who,Specialized Knowledge,Music|Rock & Pop,
27729,Music,Rock & Pop,Which British rock group was the first to use lasers in a live performance,The Who,Moderate Knowledge,Music|Rock & Pop,
27730,Music,Rock & Pop,Which famous rock and roll band was formerly known as The High Numbers,The Who,Moderate Knowledge,Music|Rock & Pop,
27731,Music,Rock & Pop,Which group starred with Oliver Reed in the film Tommy,The Who,Moderate Knowledge,Music|Rock & Pop,
27732,Music,Rock & Pop,Who released the 1970s album entitled Live at Leeds,The Who,Moderate Knowledge,Music|Rock & Pop,
27733,Music,Rock & Pop,Who spent four weeks in the charts as The High Numbers,The Who,Specialized Knowledge,Music|Rock & Pop,
27734,Music,Rock & Pop,Who was the first rock band to perform at the New York Opera House,The Who,Specialized Knowledge,Music|Rock & Pop,
27745,Music,Rock & Pop,Mike Batt was the voice behind who,The Wombles,Specialized Knowledge,Music|Rock & Pop,
27747,Music,Rock & Pop,Which band accompanied Vic Reeves on his chart topper 'Dizzy'?,The Wonder Stuff,Specialized Knowledge,Music|Rock & Pop,
27748,Music,Rock & Pop,Which band went Dizzy with Vic Reeves in 1991?,The Wonder Stuff,Specialized Knowledge,Music|Rock & Pop,
27763,Music,Rock & Pop,Which group had a 1960s hit with the song She's Not There?,The Zombies,Moderate Knowledge,Music|Rock & Pop,
27779,Music,Rock & Pop,What Rolling Stones album originally had a 3-D cover in 1967,Their Satanic Majesties Request,Specialized Knowledge,Music|Rock & Pop,
27780,Music,Rock & Pop,Which Rolling Stones album featured a 3-D cover?,Their Satanic Majesties Request,Specialized Knowledge,Music|Rock & Pop,
27785,Music,Rock & Pop,Who was John Lennon's first girlfriend?,Thelma Pickles,Specialized Knowledge,Music|Rock & Pop,
27786,Music,Rock & Pop,Who sang Here Comes The Night featuring Van Morrison in 1965,Them,Specialized Knowledge,Music|Rock & Pop,
27810,Music,Rock & Pop,What was on the flip side of the 1991 re-issue of Bohemian Rhapsody,These Are The Days Of Our Lives,Specialized Knowledge,Music|Rock & Pop,
27829,Music,Rock & Pop,What was unusual about The Archies who had a number one hit with Sugar Sugar,They were cartoon characters,Moderate Knowledge,Music|Rock & Pop,
27837,Music,Rock & Pop,"In 1978, whose music did Def Leppard like to cover in small clubs?",Thin Lizzy,Specialized Knowledge,Music|Rock & Pop,
27838,Music,Rock & Pop,Live And Dangerous is a classic live album by which hard rock band?,Thin Lizzy,Specialized Knowledge,Music|Rock & Pop,
27843,Music,Rock & Pop,What song did Aretha Franklin sing in The Blues Brothers,Think,Moderate Knowledge,Music|Rock & Pop,
27847,Music,Rock & Pop,Now That We've Found Love was a hit for which Jamaican group,Third World,Moderate Knowledge,Music|Rock & Pop,
27851,Music,Rock & Pop,How old was LeAnn Rimes when she had her first number one country album?,Thirteen,Specialized Knowledge,Music|Rock & Pop,
27861,Music,Rock & Pop,"Sisters Of Mercy had a hit with ""This Corrosion"" or ""This Emotion""?",This Corrosion,Specialized Knowledge,Music|Rock & Pop,
27862,Music,Rock & Pop,What couldn't REO Speedwagon fight,This Feeling,Specialized Knowledge,Music|Rock & Pop,
27904,Music,Rock & Pop,What is the real name of musician Thomas Dolby,Thomas Robertson,Specialized Knowledge,Music|Rock & Pop,
27912,Music,Rock & Pop,Who had a hit in 1983 with 'Hold Me Now'?,Thompson Twins,Moderate Knowledge,Music|Rock & Pop,
27934,Music,Rock & Pop,How many Christian Brothers were originally in the group The Christians,Three,Specialized Knowledge,Music|Rock & Pop,
27935,Music,Rock & Pop,How many members were in the group Bread?,Three,Specialized Knowledge,Music|Rock & Pop,
27954,Music,Rock & Pop,Who had a hit in 1974 with 'When Will I See You Again',Three Degrees,Moderate Knowledge,Music|Rock & Pop,
27957,Music,Rock & Pop,Joy to the World was a hit in 1971 for what band with three lead vocalists,Three Dog Night,Moderate Knowledge,Music|Rock & Pop,
27978,Music,Rock & Pop,What Michael Jackson album won the Grammy in 1983,Thriller,Common Knowledge,Music|Rock & Pop,
28036,Music,Rock & Pop,What was Rolf Harris's first hit?,Tie Me Kangaroo Down Sport,Specialized Knowledge,Music|Rock & Pop,
28038,Music,Rock & Pop,Who had a hit in 1988 with I Saw Him Standing There?,Tiffany,Specialized Knowledge,Music|Rock & Pop,
28040,Music,Rock & Pop,Survivor sang about the eye of the what,Tiger,Common Knowledge,Music|Rock & Pop,
28045,Music,Rock & Pop,What was Mud's first No.1 single,Tiger Feet,Specialized Knowledge,Music|Rock & Pop,
28052,Music,Rock & Pop,Who had a hit in 1981 with 'I Surrender'?,Tight Fit,Specialized Knowledge,Music|Rock & Pop,
28053,Music,Rock & Pop,Who sang The Lion Sleeps Tonight in the 1980s,Tight Fit,Specialized Knowledge,Music|Rock & Pop,
28060,Music,Rock & Pop,Which band backed US musician Herb Alpert,Tijuana Brass,Moderate Knowledge,Music|Rock & Pop,
28066,Music,Rock & Pop,Which US group sang 'The Future's So Bright I Gotta Wear Shades'?,Timbuk 3,Moderate Knowledge,Music|Rock & Pop,
28067,Music,Rock & Pop,Who sang the 1980s hit The Future's So Bright I Gotta Wear Shades,Timbuk 3,Specialized Knowledge,Music|Rock & Pop,
28078,Music,Rock & Pop,What were Club Nouveau originally known as?,Timex Social Club,Specialized Knowledge,Music|Rock & Pop,
28098,Music,Rock & Pop,Which band did David Bowie form with the sons of Soupy Sales?,Tin Machine,Specialized Knowledge,Music|Rock & Pop,
28106,Music,Rock & Pop,Anna Mae Bullock is the real name of which singer?,Tina Turner,Moderate Knowledge,Music|Rock & Pop,
28107,Music,Rock & Pop,How is Anna Mae Bullock known to the world of music?,Tina Turner,Moderate Knowledge,Music|Rock & Pop,
28108,Music,Rock & Pop,Which female singer asked the question What's Love Got to Do with It?,Tina Turner,Common Knowledge,Music|Rock & Pop,
28109,Music,Rock & Pop,Who is Anna Mae Bullock better known as?,Tina Turner,Moderate Knowledge,Music|Rock & Pop,
28110,Music,Rock & Pop,"Who said ""I Don't Wanna Fight"" was the ideal theme for her autobiography?",Tina Turner,Moderate Knowledge,Music|Rock & Pop,
28142,Music,Rock & Pop,"T-Boz, Left Eye & Chilli made up which group?",TLC,Moderate Knowledge,Music|Rock & Pop,
28171,Music,Rock & Pop,Fall Down was a hit for which Santa Barbara band?,Toad the Wet Sprocket,Specialized Knowledge,Music|Rock & Pop,
28183,Music,Rock & Pop,Which road could The Nashville Teens be found on,Tobacco Road,Specialized Knowledge,Music|Rock & Pop,
28250,Music,Rock & Pop,The Heartbreakers backed which US singer,Tom Petty,Moderate Knowledge,Music|Rock & Pop,
28275,Music,Rock & Pop,In the hit song Tell Laura I Love Her what was the young man's name?,Tommy,Moderate Knowledge,Music|Rock & Pop,
28276,Music,Rock & Pop,What is The Who's rock musical starring Elton John called,Tommy,Moderate Knowledge,Music|Rock & Pop,
28285,Music,Rock & Pop,For which band did the song 867-5309 Jenny spawn a lawsuit,Tommy Tutone,Specialized Knowledge,Music|Rock & Pop,
28292,Music,Rock & Pop,Who had a 1980s hit with the song 'Funky Cold Medina'?,Tone Loc,Moderate Knowledge,Music|Rock & Pop,
28315,Music,Rock & Pop,Who was the lead singer of Spandau Ballet?,Tony Hadley,Moderate Knowledge,Music|Rock & Pop,
28316,Music,Rock & Pop,Who was the lead singer with Spandau Ballet?,Tony Hadley,Moderate Knowledge,Music|Rock & Pop,
28318,Music,Rock & Pop,A decade later he found a new dawn but who had a No 5 hit Bless You in 1961,Tony Orlando,Specialized Knowledge,Music|Rock & Pop,
28319,Music,Rock & Pop,Who was the front man and lead vocalist for Dawn,Tony Orlando,Moderate Knowledge,Music|Rock & Pop,
28329,Music,Rock & Pop,Name The Kajagoogoo's debut single,Too Shy,Specialized Knowledge,Music|Rock & Pop,
28409,Music,Rock & Pop,Which 1980s band took their name from a Vulcan in Star Trek,T'Pau,Specialized Knowledge,Music|Rock & Pop,
28410,Music,Rock & Pop,Who sang the song 'Fast Car'?,Tracy Chapman,Moderate Knowledge,Music|Rock & Pop,
28416,Music,Rock & Pop,Who released the 1970s album entitled 'John Barleycorn Must Die'?,Traffic,Specialized Knowledge,Music|Rock & Pop,
28438,Music,Rock & Pop,Name the band with songs including Baby I Don't Care and I Want Your Love,Transvision Vamp,Specialized Knowledge,Music|Rock & Pop,
28444,Music,Rock & Pop,The Man Who was the second album for which band?,Travis,Specialized Knowledge,Music|Rock & Pop,
28445,Music,Rock & Pop,Turn Side and Why Does It Always Rain on Me are all songs from what UK band,Travis,Moderate Knowledge,Music|Rock & Pop,
28473,Music,Rock & Pop,Which pop group had a hit with Silence is Golden,Tremaloes,Moderate Knowledge,Music|Rock & Pop,
28598,Music,Rock & Pop,"What day of the week is mentioned in ""I Am The Walrus""",Tuesday,Specialized Knowledge,Music|Rock & Pop,
28747,Music,Rock & Pop,What song does Rodney Dangerfield sing in Back To School,Twist and Shout,Moderate Knowledge,Music|Rock & Pop,
28748,Music,Rock & Pop,Dee Snider was the singer for which band?,Twisted Sister,Moderate Knowledge,Music|Rock & Pop,
28808,Music,Rock & Pop,Adam Clayton plays bass guitar for which band,U2,Common Knowledge,Music|Rock & Pop,
28809,Music,Rock & Pop,"David, Adam, Paul and Larry are the first names of which long-running band?",U2,Moderate Knowledge,Music|Rock & Pop,
28810,Music,Rock & Pop,Of which rock group is Bono a member?,U2,Common Knowledge,Music|Rock & Pop,
28811,Music,Rock & Pop,Rattle And Hum was a hit album for which group,U2,Common Knowledge,Music|Rock & Pop,
28812,Music,Rock & Pop,Which band before becoming famous used to go by the name Feedback?,U2,Moderate Knowledge,Music|Rock & Pop,
28813,Music,Rock & Pop,Which band was originally known as Feedback,U2,Moderate Knowledge,Music|Rock & Pop,
28814,Music,Rock & Pop,Who sang the song 'Beautiful Day'?,U2,Common Knowledge,Music|Rock & Pop,
28815,Music,Rock & Pop,Whose concerts formed the basis of the film Rattle and Hum,U2,Moderate Knowledge,Music|Rock & Pop,
28849,Music,Rock & Pop,"""Dancing With Tears In My Eyes"" Was A 1984 Hit For Which Group",Ultravox,Specialized Knowledge,Music|Rock & Pop,
28861,Music,Rock & Pop,What song connects Al Hibbler The Righteous Brothers and Robson and Jerome,Unchained Melody,Moderate Knowledge,Music|Rock & Pop,
28862,Music,Rock & Pop,Which song ends with the line God Speed Your Love To Me,Unchained Melody,Moderate Knowledge,Music|Rock & Pop,
28869,Music,Rock & Pop,Men At Work came from a land down where,Under,Moderate Knowledge,Music|Rock & Pop,
28873,Music,Rock & Pop,"Which band sang ""Baker Street"" as a hit in 1992?",Undercover,Specialized Knowledge,Music|Rock & Pop,
28886,Music,Rock & Pop,Who was shouting for Lager Lager Lager,Underworld,Specialized Knowledge,Music|Rock & Pop,
28908,Music,Rock & Pop,What was Gary Puckett's backup band?,Union Gap,Specialized Knowledge,Music|Rock & Pop,
28909,Music,Rock & Pop,What union did Duran Duran sing about in 1983,Union of the Snake,Specialized Knowledge,Music|Rock & Pop,
28958,Music,Rock & Pop,Which 1980s hit was dedicated by Billy Joel to Christie Brinkley?,Uptown Girl,Moderate Knowledge,Music|Rock & Pop,
29033,Music,Rock & Pop,What was the name of the supergroup that had a hit with We Are The World,USA For Africa,Common Knowledge,Music|Rock & Pop,
29034,Music,Rock & Pop,The pop trio Deee-Lite members are from which three countries,"USA, USSR, Japan",Specialized Knowledge,Music|Rock & Pop,
29094,Music,Rock & Pop,Which racing music artist did Unchained in 1981?,Van Halen,Moderate Knowledge,Music|Rock & Pop,
29095,Music,Rock & Pop,Moondance was a hit for which male singer?,Van Morrison,Moderate Knowledge,Music|Rock & Pop,
29096,Music,Rock & Pop,Which musician released the album 'Tupelo Honey'?,Van Morrison,Moderate Knowledge,Music|Rock & Pop,
29102,Music,Rock & Pop,Who was in the charts in 1992 with Be My Baby?,Vanessa Paradis,Specialized Knowledge,Music|Rock & Pop,
29112,Music,Rock & Pop,Bob Van Winkle changed his name to what?,Vanilla Ice,Moderate Knowledge,Music|Rock & Pop,
29192,Music,Rock & Pop,What song by Frankie Avalon went to number 1 in 1959,Venus,Moderate Knowledge,Music|Rock & Pop,
29232,Music,Rock & Pop,Which group sang the song Everything You Want?,Vertical Horizon,Specialized Knowledge,Music|Rock & Pop,
29267,Music,Rock & Pop,For which artist did The Wonder Stuff serve as backing group in the 1990s,Vic Reeves,Specialized Knowledge,Music|Rock & Pop,
29268,Music,Rock & Pop,Who made a 1990s cover version of The Monkees' I'm a Believer,Vic Reeves,Specialized Knowledge,Music|Rock & Pop,
29297,Music,Rock & Pop,Which song was used to launch MTV in the USA?,Video Killed The Radio Star,Moderate Knowledge,Music|Rock & Pop,
29303,Music,Rock & Pop,Which European city was a hit for Ultravox in the 80s,Vienna,Moderate Knowledge,Music|Rock & Pop,
29304,Music,Rock & Pop,With which European city is the British band Ultravox linked in song?,Vienna,Moderate Knowledge,Music|Rock & Pop,
29311,Music,Rock & Pop,"Paul Hardcastle's hit ""19"" was about which war",Vietnam,Moderate Knowledge,Music|Rock & Pop,
29321,Music,Rock & Pop,Who did Andy Bell perform with in the group Erasure,Vince Clarke,Specialized Knowledge,Music|Rock & Pop,
29322,Music,Rock & Pop,"Who has been a founder member of Yazoo, Depeche Mode and Erasure?",Vince Clarke,Specialized Knowledge,Music|Rock & Pop,
29323,Music,Rock & Pop,The Assembly one hit wonder was a collaboration by which 2 successful artists,Vince Clarke and Feargal Sharkey,Specialized Knowledge,Music|Rock & Pop,
29329,Music,Rock & Pop,What is Alice Cooper's real name,Vincent Furnier,Specialized Knowledge,Music|Rock & Pop,
29331,Music,Rock & Pop,Which actor was the narrator on Michael Jackson's Thriller?,Vincent Price,Common Knowledge,Music|Rock & Pop,
29332,Music,Rock & Pop,Who does the voiceover at the end of Michael Jackson's Thriller,Vincent Price,Moderate Knowledge,Music|Rock & Pop,
29354,Music,Rock & Pop,"Name the band whose songs include ""Add It Up"", ""Blister in the Sun"", ""Kiss Off""",Violent Femmes,Specialized Knowledge,Music|Rock & Pop,
29378,Music,Rock & Pop,On which label was The Human League's Greatest Hits released in 1988,Virgin,Specialized Knowledge,Music|Rock & Pop,
29404,Music,Rock & Pop,Name the 'Fade to Grey' band fronted by Steve Strange.,Visage,Specialized Knowledge,Music|Rock & Pop,
29405,Music,Rock & Pop,"Which group sang the 1980s hit ""Fade To Grey""?",Visage,Specialized Knowledge,Music|Rock & Pop,
29457,Music,Rock & Pop,Woody left Madness to join which group,Voice Of The Beehive,Specialized Knowledge,Music|Rock & Pop,
29458,Music,Rock & Pop,Til Tuesday had a hit with which song Voices Carry or Carry Me Home?,Voices Carry,Moderate Knowledge,Music|Rock & Pop,
29498,Music,Rock & Pop,Blackie Lawless was the singer with which band,W.A.S.P.,Specialized Knowledge,Music|Rock & Pop,
29510,Music,Rock & Pop,What did Wham! say to do before you go-go?,Wake Me Up,Moderate Knowledge,Music|Rock & Pop,
29517,Music,Rock & Pop,What connects the bands Catatonia Super Furry Animals and Budgie?,Wales,Moderate Knowledge,Music|Rock & Pop,
29518,Music,Rock & Pop,What's the connection between Tom Jones Shirley Bassey & The Alarm?,Wales,Moderate Knowledge,Music|Rock & Pop,
29523,Music,Rock & Pop,"What song connects The Average White Band, The Stranglers, and Dionne Warwick?",Walk On By,Specialized Knowledge,Music|Rock & Pop,
29526,Music,Rock & Pop,For what hit song did Aerosmith team up with Run-DMC?,Walk This Way,Moderate Knowledge,Music|Rock & Pop,
29527,Music,Rock & Pop,Which Aerosmith song was re-made by Run D.M.C.,Walk This Way,Moderate Knowledge,Music|Rock & Pop,
29530,Music,Rock & Pop,Which brothers had a hit with The Sun Ain't Gonna Shine Anymore?,Walker Brothers,Specialized Knowledge,Music|Rock & Pop,
29534,Music,Rock & Pop,What song features the lyric Giant Steps Are What You Take,Walking On The Moon,Moderate Knowledge,Music|Rock & Pop,
29560,Music,Rock & Pop,Which songwriters and musicians are the core of Steely Dan,Walter Becker & Donald Fagen,Moderate Knowledge,Music|Rock & Pop,
29573,Music,Rock & Pop,What song is about a sheep stealing suicide?,Waltzing Matilda,Moderate Knowledge,Music|Rock & Pop,
29578,Music,Rock & Pop,Which band had hits with Dance Hall Days and Everybody Have Fun Tonight,Wang Chung,Moderate Knowledge,Music|Rock & Pop,
29579,Music,Rock & Pop,What is the first track on the Spice Girls' debut album?,Wannabe,Moderate Knowledge,Music|Rock & Pop,
29602,Music,Rock & Pop,Which band had hits with Heaven and Cherry Pie,Warrant,Moderate Knowledge,Music|Rock & Pop,
29688,Music,Rock & Pop,With what song did ABBA win the Eurovision Song Contest in 1974,Waterloo,Common Knowledge,Music|Rock & Pop,
29701,Music,Rock & Pop,What song was the Pittsburgh Pirates anthem?,We Are Family,Moderate Knowledge,Music|Rock & Pop,
29703,Music,Rock & Pop,"Go West Had A Hit With ""We Close Our Eyes"" Or ""Eyes Wide Shut""",We Close Our Eyes,Specialized Knowledge,Music|Rock & Pop,
29704,Music,Rock & Pop,Billy Joel gave an exhaustive list of 20th century events in which song,We Didn't Start The Fire,Moderate Knowledge,Music|Rock & Pop,
29754,Music,Rock & Pop,Who was the lead singer of The Plasmatics?,Wendy O. Williams,Specialized Knowledge,Music|Rock & Pop,
29756,Music,Rock & Pop,What was the only Top 10 hit for Rita Coolidge,We're All Alone,Specialized Knowledge,Music|Rock & Pop,
29787,Music,Rock & Pop,Which band had a 1999 hit single with Flying Without Wings,Westlife,Moderate Knowledge,Music|Rock & Pop,
29799,Music,Rock & Pop,High on the Happy Side was a number 1 album for which band in 1992?,Wet Wet Wet,Specialized Knowledge,Music|Rock & Pop,
29800,Music,Rock & Pop,"Which group was featured in the film ""Four Weddings and a Funeral""",Wet Wet Wet,Moderate Knowledge,Music|Rock & Pop,
29801,Music,Rock & Pop,"Who had 1990s hits with ""Julia Says"" and ""If I Never See You Again""?",Wet Wet Wet,Moderate Knowledge,Music|Rock & Pop,
29802,Music,Rock & Pop,Who had a hit in 1987 with the song Angel Eyes,Wet Wet Wet,Moderate Knowledge,Music|Rock & Pop,
29803,Music,Rock & Pop,Who were the first Scottish group to have three No.1 hits?,Wet Wet Wet,Specialized Knowledge,Music|Rock & Pop,
29804,Music,Rock & Pop,What was at number 1 for fifteen weeks in 1994?,Wet Wet Wet Love Is All Around,Specialized Knowledge,Music|Rock & Pop,
29809,Music,Rock & Pop,According to the B-52's what was their Chrysler as big as?,Whale,Moderate Knowledge,Music|Rock & Pop,
29817,Music,Rock & Pop,Which pop duo before hitting the big time were formally known as Executive?,Wham,Moderate Knowledge,Music|Rock & Pop,
29818,Music,Rock & Pop,Which pop duo had a hit in 1983 with Club Tropicana?,Wham,Moderate Knowledge,Music|Rock & Pop,
29819,Music,Rock & Pop,Which was the first Western band to play a concert venue in China,Wham,Moderate Knowledge,Music|Rock & Pop,
29826,Music,Rock & Pop,What single by Tina Turner won the Grammy in 1984?,What's Love Got to Do with It,Moderate Knowledge,Music|Rock & Pop,
29828,Music,Rock & Pop,Hello Hey Now & Wonderwall are tracks of which best selling album?,What's The Story Morning Glory,Moderate Knowledge,Music|Rock & Pop,
